0.29544	0.26966	0.27616	0.26278	0.25525	0.25512
-0.17108	0.026803	-0.31957	-0.18693	-0.03054	-0.17101
0.33958	0.31194	0.32043	0.34684	0.37094	0.31025
0.2094	-0.066831	0.47945	0.17939	-0.06269	0.33534
-0.36955	-0.03844	-0.80521	-0.66376	0.066191	-0.84808
0.65442	0.30733	0.65995	0.4926	0.47874	0.47859
0.4954	0.42415	0.49123	0.8284	0.46366	0.5252
0.89029	0.89299	0.89023	0.89623	0.8936	0.89476
0.038016	0.99678	0.038864	0.05718	0.051726	0.9968
-1.2945	-1.487	-1.2609	-1.4449	-1.5078	-1.4089
-1.2363	-1.4383	-1.2044	-1.3895	-1.4523	-1.3711
0.202	0.19629	0.16296	0.18016	0.19564	0.15834
-0.13228	-0.074766	-0.21438	-0.14964	-0.043316	-0.21465
0.090757	0.12158	0.053136	0.10525	0.13298	0.066242
1.4856	1.1498	1.3041	1.2549	1.293	1.184
-0.089809	-0.1775	0.14078	-0.18023	-0.26245	0.099734
0.041238	0.32885	-0.3873	0.10492	0.48986	-0.36545
